name,position,star_rating,composite_score,committed_school,state
Jalen Brewster,DL,5,99.93,Texas Tech,TX
John Meredith III,CB,5,99.91,,TX
Mark Matthews,OT,5,99.85,Miami,FL
DJ Jacobs,EDGE,5,99.84,Ohio State,GA
Maxwell Hiller,IOL,5,99.81,Florida,PA
Kemon Spell,RB,5,99.73,Georgia,PA
Monshun Sales,WR,5,99.64,,IN
Kennedy Brown,OT,5,99.47,,TX
Easton Royal,WR,5,99.44,Texas,LA
David Gabriel Georges,RB,5,99.34,,TN
Joshua Dobson,CB,5,99.33,,NC
Nick Lennear,WR,5,99.24,Miami,FL
Jaiden Bryant,EDGE,5,99.18,LSU,SC
Albert Simien,IOL,5,99.16,,LA
Jamier Brown,WR,5,99.13,Ohio State,OH
Honor Fa'alave-Johnson,ATH,5,99.13,USC,CA
Cooper Hackett,OT,5,99.12,Oklahoma,OK
Ahmad Hudson,TE,5,99.06,,LA
Kamarui Dorsey,S,5,99.02,Texas A&M,GA
Oluwasemilore Olubobola,OT,5,98.99,,NJ
Anthony Sweeney,EDGE,5,98.96,,MD
Elijah Haven,QB,5,98.87,Alabama,LA
Donte Wright,CB,5,98.85,Georgia,CA
Kaden Henderson,LB,5,98.85,Miami,FL
Eric McFarland III,WR,5,98.84,,FL
Raylaun Henry,CB,5,98.76,Texas A&M,MD
Chris Whitehead,EDGE,5,98.75,,VA
Cooper Witten,LB,5,98.67,Oklahoma,TX
Ismael Camara,IOL,5,98.66,,TX
JayQuan Snell,S,5,98.6,Texas A&M,TX
Landen Williams-Callis,RB,5,98.59,,TX
Kaeden Penny,IOL,5,98.51,Oklahoma,OK
Hayden Stepp,CB,5,98.48,,NV
Dakota Guerrant,WR,5,98.46,,MI
Marcus Fakatou,DL,5,98.44,,CA
Jaxon Dollar,TE,5,98.44,Notre Dame,NC
Xavier Sabb,ATH,5,98.43,,NJ
Xavier Hasan,CB,5,98.21,Notre Dame,NC
Gabriel Osborne Jr.,CB,5,98.14,,OK
Jake Nawrot,QB,5,98.14,,IL
Kesean Bowman,WR,5,98.13,Tennessee,TN
Zyron Forstall,EDGE,5,98.11,Texas A&M,FL
Kasi Currie,DL,5,98.07,,CA
Israel Abrams,QB,5,98.06,Miami,IL
Kavian Bryant,QB,5,98.01,Texas Tech,TX
Myson Johnson-Cook,RB,5,98.01,,IL
Osani Gayles,WR,4,97.93,,FL
Omarii Sanders,LB,4,97.89,Vanderbilt,TN
Mekai Brown,EDGE,4,97.89,,CT
Myels Smith,DL,4,97.88,Texas A&M,CA
Tory Pittman III,S,4,97.87,Nebraska,NE
Ta'Shawn Poole,S,4,97.69,,GA
Chance Gilbert,S,4,97.64,,GA
Quentin Hale,WR,4,97.63,USC,CA
Trae Taylor,QB,4,97.62,Nebraska,NE
Seneca Driver,TE,4,97.53,Oklahoma,KY
Benny Easter Jr.,WR,4,97.51,Texas Tech,TX
Caden Moss,OT,4,97.5,,MS
Layton von Brandt,OT,4,97.47,Notre Dame,DE
Toa Satele,LB,4,97.44,,HI
Rashad Streets,EDGE,4,97.34,Oregon,NC
Ben'Jarvius Shumaker,DL,4,97.24,Ole Miss,MS
Abraham Sesay,EDGE,4,97.2,,PA
Jaden Upshaw,WR,4,97.09,,GA
JuJu Johnson,CB,4,97.09,Oklahoma,CA
Bode Sparrow,ATH,4,97.08,Oklahoma,UT
Brock Williams,TE,4,97.03,,IL
Julius Jones,WR,4,96.97,Oregon,FL
Ai'King Hall,CB,4,96.92,,AL
Khalil Taylor,WR,4,96.81,Penn State,PA
Jordan Agbanoma,IOL,4,96.76,,GA
KJ Green,EDGE,4,96.67,,GA
Quentin Burrell,WR,4,96.54,Notre Dame,IL
Sam LeJeune,DL,4,96.44,,MS
Wyatt Smith,EDGE,4,96.4,,FL
Peter Bourque,QB,4,96.4,Michigan,MA
Frederick Ards,EDGE,4,96.38,,FL
Mitchell Turner,DL,4,96.37,,MS
Elijah Hutcheson,OT,4,96.34,,VA
KJ Caldwell,S,4,96.33,,GA
Donivan Moore,DL,4,96.32,Auburn,AL
Kellen Wymer,IOL,4,96.28,Ohio State,OH
James Halter,OT,4,96.2,Notre Dame,PA
Will Mencl,QB,4,96.16,,AZ
Ace Alston,CB,4,96.06,Notre Dame,OH
Corey Hadley Jr.,S,4,96.01,,GA
George Toia,DL,4,95.91,,TX
Peyton Houston,QB,4,95.89,LSU,LA
Julian Caldwell,WR,4,95.88,,TX
Jake Hildebrand,OT,4,95.78,,AZ
Xavier Muhammad,DL,4,95.76,,TX
Bryce Kish,LB,4,95.72,Clemson,MI
Taven Epps,LB,4,95.72,Oklahoma,CA
Semaj Stanford,S,4,95.7,,OK
John Archer,DL,4,95.64,,NC
Aaryn Washington,CB,4,95.53,USC,FL
Jatori Williams,IOL,4,95.4,,AL
Prince Goldsby,LB,4,95.37,,MO
